what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1487617460956
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1487617460956
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1487617460966
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1487617460976
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1487617460976
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1487617460976
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1487617460976
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1487617461016
os,sysinfo,,,"win32",1487617461076
arch,sysinfo,,,"x86",1487617461076
ws,sysinfo,,,"win32",1487617461076
locale,sysinfo,,,"pl_PL",1487617461076
processors,sysinfo,,,"1",1487617461076
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487617461076
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1487617461076
java.specification.name,sysinfo,,,"Java Platform API Specification",1487617461076
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487617461076
java.specification.version,sysinfo,,,"1.6",1487617461076
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1487617461076
java.version,sysinfo,,,"1.6.0_35",1487617461076
java.vm.info,sysinfo,,,"mixed mode, sharing",1487617461076
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1487617461076
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487617461076
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487617461076
java.vm.specification.version,sysinfo,,,"1.0",1487617461076
